1,-1,902,147,224,623,0.9989598989
1,-1,398,287,119,317,0.9981238246
1,-1,541,267,110,319,0.9979199767
1,-1,0,19,400,1052,0.9960901141
1,-1,735,325,51,131,0.9326111674
1,-1,794,326,45,125,0.8488109112
1,-1,1374,321,41,126,0.7506303787
1,-1,694,338,44,126,0.7256731391
1,-1,1853,327,40,118,0.6886026859
1,-1,1791,333,36,104,0.6478995085
1,-1,1325,332,37,117,0.6214560866
1,-1,1631,341,36,98,0.37475124
1,-1,1649,342,35,95,0.3031764328
1,-1,1039,238,107,405,0.2904419005
1,-1,2,318,236,761,0.2489592433
1,-1,867,247,104,311,0.2340378314
1,-1,1360,329,38,121,0.1522285342
2,-1,900,151,218,620,0.9991222024
2,-1,392,283,117,319,0.9985377789
2,-1,542,270,104,315,0.9984478951
2,-1,0,0,370,1080,0.9876696467
2,-1,736,323,50,131,0.9364578724
2,-1,792,327,46,125,0.8774856925
2,-1,1373,319,42,130,0.7774261236
2,-1,1791,336,39,104,0.7013648152
2,-1,1037,240,110,403,0.6295622587
2,-1,693,336,43,121,0.5945669413
2,-1,1852,329,41,120,0.5558149815
2,-1,1324,333,37,117,0.5055293441
2,-1,1649,343,35,99,0.5030969381
2,-1,1632,341,36,101,0.4179202914
2,-1,0,452,224,627,0.3747281134
2,-1,870,247,104,314,0.2641327679
2,-1,1361,327,39,126,0.2250720412
2,-1,1309,333,37,117,0.1833027452
3,-1,534,269,104,319,0.998775661
3,-1,388,280,112,316,0.9983704686
3,-1,904,150,204,626,0.9982275367
3,-1,0,27,362,1040,0.9913149476
3,-1,734,323,47,129,0.9726529121
3,-1,790,330,42,118,0.9140750766
3,-1,1372,323,41,123,0.8128178716
3,-1,695,337,39,120,0.8043854833
3,-1,1321,332,37,115,0.6950470805
3,-1,1845,335,39,108,0.6691468358
3,-1,1791,341,38,102,0.5941544175
3,-1,1041,239,102,410,0.4897069931
3,-1,1622,343,35,103,0.341968298
3,-1,7,502,174,577,0.2259158343
3,-1,1650,344,33,97,0.2255526632
3,-1,867,238,103,328,0.1940856725
3,-1,1825,341,35,103,0.1864095181
3,-1,1809,347,26,92,0.1747916341
3,-1,1773,342,37,96,0.1518620551
3,-1,840,328,41,124,0.1187654212
4,-1,529,268,103,319,0.9992362261
4,-1,376,276,121,329,0.9991074204
4,-1,905,148,209,626,0.9988930821
4,-1,0,36,320,1019,0.9911545515
4,-1,729,320,49,133,0.9689909816
4,-1,787,328,42,118,0.9502991438
4,-1,1845,338,40,110,0.8407379389
4,-1,690,337,40,116,0.838604629
4,-1,1372,323,39,121,0.829123497
4,-1,1789,342,37,105,0.7490770817
4,-1,1318,332,37,114,0.7483821511
4,-1,1035,243,103,419,0.7306662202
4,-1,1620,345,35,102,0.4246833026
4,-1,862,243,98,324,0.3100263476
4,-1,1648,345,33,101,0.2953497171
4,-1,1632,345,35,101,0.2598877251
4,-1,841,331,39,121,0.229296416
4,-1,1826,342,35,104,0.1836723685
4,-1,1808,350,25,89,0.1307300478
4,-1,821,336,36,113,0.1181486472
5,-1,367,269,126,338,0.998970747
5,-1,527,268,100,323,0.9985023737
5,-1,885,172,194,619,0.9976556301
5,-1,0,11,305,1068,0.9908084273
5,-1,729,320,47,127,0.9540157318
5,-1,787,328,41,114,0.9368937016
5,-1,688,333,38,115,0.9323754311
5,-1,1843,338,41,108,0.831813693
5,-1,1034,242,101,414,0.8304163814
5,-1,1371,320,40,119,0.8153966069
5,-1,1789,341,39,105,0.7775121331
5,-1,1317,334,37,112,0.7642233372
5,-1,1618,344,36,99,0.5456107259
5,-1,852,256,99,325,0.2811329663
5,-1,1630,344,35,96,0.2640984952
5,-1,1826,340,37,105,0.2177869678
5,-1,959,186,168,516,0.2158042938
5,-1,861,216,145,408,0.1717112809
5,-1,1647,345,33,96,0.1464489549
5,-1,839,327,39,128,0.1155527011
6,-1,363,268,127,339,0.9988570213
6,-1,519,264,106,326,0.9982884526
6,-1,880,170,197,622,0.9978710413
6,-1,0,19,279,1060,0.995026648
6,-1,686,329,40,119,0.9690173864
6,-1,725,319,48,126,0.9596220255
6,-1,784,325,42,116,0.9558559656
6,-1,1307,331,40,118,0.8902208209
6,-1,1787,342,39,101,0.8520081639
6,-1,1032,244,99,416,0.8216190934
6,-1,1842,339,42,113,0.8024686575
6,-1,1369,320,41,116,0.7301288247
6,-1,1617,346,36,101,0.705209434
